dt,temp,prcp
2018-01-08,15.4,0
2018-01-09,15.8,0
2018-01-10,15.9,0
2018-01-11,18.9,0
2018-01-12,17,0
2018-01-13,16.1,0
2018-01-14,16.3,0
2018-01-15,16.3,0
2018-01-16,15.2,0
2018-01-17,16.7,0
2018-01-18,17.3,0
2018-01-19,14.6,0
2018-01-20,14.7,0
2018-01-21,16.6,0
2018-01-22,17.7,0
2018-01-23,17.1,0
2018-01-24,16.4,0
2018-01-25,12.9,2
2018-01-26,11.7,3
2018-01-27,13.4,2
2018-01-28,13.9,0.3
2018-01-29,14.9,0
2018-01-30,14.8,0
2018-01-31,14.6,0
2018-02-01,14.8,0
2018-02-02,16,0
2018-02-03,16.7,0
2018-02-04,20.3,0
2018-02-05,21.6,0
2018-02-06,21.7,0
2018-02-07,21.1,0
2018-02-08,22.5,0
2018-02-09,19.8,0
2018-02-10,23.9,0
2018-02-11,20.6,0
2018-02-12,17.4,0.3
2018-02-13,16.1,3
2018-02-14,15.9,0
2018-02-15,16.4,0
2018-02-16,16.7,0.3
2018-02-17,15.4,0.8
2018-02-18,17.4,0
2018-02-19,17.6,0
2018-02-20,18.3,0
2018-02-21,20.3,0
2018-02-22,20.2,0
2018-02-23,19,1
2018-02-24,18.3,0
2018-02-25,19.7,0
2018-02-26,21.3,
2018-02-27,18.3,1
2018-02-28,18.3,0
2018-03-01,20,0
2018-03-02,19.8,0
2018-03-03,23.8,0
2018-03-04,26.3,0
2018-03-05,24.3,0
2018-03-06,24.6,0
2018-03-07,25.4,0
2018-03-08,26.7,0
2018-03-09,20.1,0
2018-03-10,18.6,0
2018-03-11,18.3,0
2018-03-12,19.3,0
2018-03-13,21.8,0
2018-03-14,20.9,0
2018-03-15,19.7,0
2018-03-16,19.2,0
2018-03-17,19.5,0
2018-03-18,23.6,0
2018-03-19,26.2,0
2018-03-20,23.2,0
2018-03-21,24.9,0
2018-03-22,27.8,0
2018-03-23,28.1,0
2018-03-24,19.1,0
2018-03-25,19.2,0
2018-03-26,20.7,0
2018-03-27,22.7,
2018-03-28,26.8,3
2018-03-29,18.8,0
2018-03-30,19,0
2018-03-31,19,0
2018-04-01,19.9,0
2018-04-02,22.1,0
2018-04-03,19.9,1
2018-04-04,20.6,0
2018-04-05,20.3,0
2018-04-06,22.2,0
2018-04-07,22.7,0
2018-04-08,21.2,0
2018-04-09,20.7,0
2018-04-10,20.9,0
2018-04-11,21.3,0
2018-04-12,24.9,0
2018-04-13,26.7,0
2018-04-14,25.9,0
2018-04-15,26.3,0
2018-04-16,26.9,0
2018-04-17,27.9,0
2018-04-18,25.9,0
2018-04-19,23.7,0
2018-04-20,24.7,0
2018-04-21,23.1,0
2018-04-22,20.7,0
2018-04-23,21.6,0
2018-04-24,21.6,0
2018-04-25,19.2,3
2018-04-26,22.8,3
2018-04-27,23.6,0
2018-04-28,26.2,0
2018-04-29,28.9,0
2018-04-30,,
2018-05-01,32,0
2018-05-02,29.2,0
2018-05-03,31.7,0
2018-05-04,30.8,0
2018-05-05,23.3,0
2018-05-06,23.7,0
2018-05-07,23.7,0
2018-05-08,25,0
2018-05-09,26.4,0
2018-05-10,33.2,0
2018-05-11,25.5,0
2018-05-12,23.9,0
2018-05-13,22.1,0
2018-05-14,25.3,0
2018-05-15,24.6,0
2018-05-16,25.9,0
2018-05-17,27.1,0
2018-05-18,29.1,0
2018-05-19,30,0
2018-05-20,30.6,0
2018-05-21,33.4,0
2018-05-22,36.8,0
2018-05-23,31.9,0
2018-05-24,31.9,0
2018-05-25,31.8,0
2018-05-26,27.7,0
2018-05-27,27.2,0
2018-05-28,27.7,0
2018-05-29,26.7,0
2018-05-30,26.9,0
2018-05-31,27.5,0
2018-06-01,26.8,0
2018-06-02,26.4,0
2018-06-03,26.9,0
2018-06-04,27.5,0
2018-06-05,28.1,0
2018-06-06,28.2,0
2018-06-07,29.2,0
2018-06-08,30.3,0
2018-06-09,30.8,0
2018-06-10,32.1,0
2018-06-11,29.3,0
2018-06-12,28.3,0
2018-06-13,29.1,0
2018-06-14,31.5,0
2018-06-15,34,0
2018-06-16,34.8,0
2018-06-17,30.4,0
2018-06-18,29.6,0
2018-06-19,30.3,0
2018-06-20,30.2,0
2018-06-21,30.8,0
2018-06-22,32.3,0
2018-06-23,29.8,0
2018-06-24,29.1,0
2018-06-25,29.3,0
2018-06-26,30.2,0
2018-06-27,33.7,0
2018-06-28,28.9,0
2018-06-29,27.8,0
2018-06-30,27.7,0
2018-07-01,28.2,0
2018-07-02,28.5,0
2018-07-03,29.1,0
2018-07-04,30.3,0
2018-07-05,30.9,0
2018-07-06,30.8,0
2018-07-07,31.2,0
2018-07-08,30.6,0
2018-07-09,31.3,0
2018-07-10,30.3,0
2018-07-11,29.3,0
2018-07-12,28.5,0
2018-07-13,29.4,0
2018-07-14,30.1,0
2018-07-15,30.7,0
2018-07-16,29.9,0
2018-07-17,30.1,0
2018-07-18,30.8,0
2018-07-19,29.6,0
2018-07-20,30.3,0
2018-07-21,30.4,0
2018-07-22,29.9,0
2018-07-23,31.1,0
2018-07-24,34.7,0
2018-07-25,33.1,0
2018-07-26,31.2,0
2018-07-27,30.7,0
2018-07-28,29.4,0
2018-07-29,29.4,0
2018-07-30,30.7,0
2018-07-31,32,0
2018-08-01,31.7,0
2018-08-02,30.2,0
2018-08-03,30.8,0
2018-08-04,31.1,0
2018-08-05,31.2,0
2018-08-06,30.9,0
2018-08-07,29.7,0
2018-08-08,30.1,0
2018-08-09,30.2,0
2018-08-10,31.4,0
2018-08-11,30.7,0
2018-08-12,30.4,0
2018-08-13,30.2,0
2018-08-14,29.4,0
2018-08-15,29.4,0
2018-08-16,29.4,0
2018-08-17,30,0
2018-08-18,29.4,0
2018-08-19,29.8,0
2018-08-20,30.6,0
2018-08-21,30.9,0
2018-08-22,29.7,0
2018-08-23,29.6,0
2018-08-24,29.9,0
2018-08-25,30.4,0
2018-08-26,29.3,0
2018-08-27,29.6,0
2018-08-28,29.6,0
2018-08-29,29.6,0
2018-08-30,29.3,0
2018-08-31,29.6,0
2018-09-01,29.9,0
2018-09-02,29.9,0
2018-09-03,30.8,0
2018-09-04,30.9,0
2018-09-05,30.6,0
2018-09-06,29.8,0
2018-09-07,29.5,0
2018-09-08,29.6,0
2018-09-09,29.2,0
2018-09-10,28.8,0
2018-09-11,29.1,0
2018-09-12,28.9,0
2018-09-13,28.4,0
2018-09-14,28.7,0
2018-09-15,27.9,0
2018-09-16,27.6,0
2018-09-17,26.2,0
2018-09-18,30.6,0
2018-09-19,29.2,0
2018-09-20,28.7,0
2018-09-21,27.6,0
2018-09-22,27.6,0
2018-09-23,27.7,0
2018-09-24,26.9,0
2018-09-25,28.1,0
2018-09-26,27.3,0
2018-09-27,27.6,0
2018-09-28,29.6,0
2018-09-29,30.3,0
2018-09-30,29,0
2018-10-01,28.3,0
2018-10-02,28.5,0
2018-10-03,28.2,0
2018-10-04,27.1,0
2018-10-05,27.6,0
2018-10-06,26.6,0
2018-10-07,25.9,0
2018-10-08,25.5,0
2018-10-09,25.3,0
2018-10-10,24.9,0
2018-10-11,25,0
2018-10-12,24.9,0
2018-10-13,24.8,0
2018-10-14,24.8,0
2018-10-15,24.8,0
2018-10-16,24.5,0
2018-10-17,24.7,0
2018-10-18,24.6,0
2018-10-19,24.8,0
2018-10-20,25.7,0
2018-10-21,26.8,0
2018-10-22,28.9,0
2018-10-23,28.8,0
2018-10-24,29,0
2018-10-25,25.8,0.5
2018-10-26,21.6,0
2018-10-27,21.6,0
2018-10-28,22.4,0
2018-10-29,22.8,0
2018-10-30,23.7,0
2018-10-31,23.9,0
2018-11-01,24.3,0
2018-11-02,23.3,0
2018-11-03,23.6,0
2018-11-04,22.7,0
2018-11-05,22.3,0
2018-11-06,22.3,0
2018-11-07,22,0
2018-11-08,21.4,0
2018-11-09,21.2,0
2018-11-10,20.9,0
2018-11-11,21.4,0
2018-11-12,21.1,0
2018-11-13,20.1,0
2018-11-14,,
2018-11-15,,
2018-11-16,20.1,0
2018-11-17,,
2018-11-18,,
2018-11-19,,
2018-11-20,,
2018-11-21,,
2018-11-22,,
2018-11-23,,
2018-11-24,,
2018-11-25,,
2018-11-26,,
2018-11-27,,
2018-11-28,,
2018-11-29,,
2018-11-30,,
